ID	Seed	Sample	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_score	correct_result
7b56	3	0	0.3801905511726311	0.85453785	[0.8679927568372429, 0.8412214029256821]	[0.9772007518009919, 0.9759045134101569]	[95.70785714285715, 94.6057142857143]	0.9	0.89	0.92	1
7b56	3	1	0.3572896132556202	0.84294946	[0.5355847941987277, 0.7074792131192846]	[0.9016322513768653, 0.9281623454413332]	[88.26083333333332, 93.37583333333335]	0.9	0.89	0.92	1
7b56	3	2	0.4333718394850472	0.87822061	[0.1720981166473705, 0.48835247770532897]	[0.7646679633691373, 0.8435927292667167]	[77.14811320754717, 91.92094339622639]	0.9	0.88	0.91	1
7b56	3	3	0.4145597059916614	0.87116417	[0.16280023159179682, 0.47237941839452574]	[0.761171619970374, 0.8378536256546595]	[76.35326530612245, 91.70816326530614]	0.9	0.88	0.91	1
7b56	3	4	0.3990968910241705	0.86040801	[0.19515930276821422, 0.4776426438765886]	[0.7821392451584582, 0.8486075562814603]	[77.98599999999999, 90.8214]	0.9	0.88	0.91	1
7b56	4	0	0.4182751157625725	0.87116417	[0.18987350999798688, 0.46411379787477264]	[0.7819082909676418, 0.8423023116027958]	[77.44586956521742, 90.78521739130434]	0.9	0.88	0.91	1
7b56	4	1	0.4062753596535133	0.87116417	[0.17777161323090349, 0.46859783988655473]	[0.772654200441656, 0.8426210907595538]	[77.01531914893616, 90.98914893617021]	0.9	0.88	0.91	1
7b56	4	2	0.4291536958333679	0.87822061	[0.1679650519534051, 0.4873289053205771]	[0.7625660055055107, 0.8427092206394866]	[76.8578, 91.96400000000001]	0.9	0.88	0.91	1
7b56	4	3	0.429492859288274	0.87822061	[0.16876860802142277, 0.4700511913804866]	[0.7679598395805586, 0.8412495008497444]	[76.41592592592593, 91.21462962962966]	0.9	0.89	0.92	1
7b56	4	4	0.4067328004652427	0.87116417	[0.23191597611137, 0.5407304884197841]	[0.7985402035131024, 0.8695953565864988]	[79.905625, 91.76291666666668]	0.9	0.88	0.92	1
7b56	5	0	0.3930915554289063	0.86040801	[0.1914534512913815, 0.45840974839384785]	[0.7811525671135159, 0.8425497656882324]	[77.69068181818182, 90.45386363636364]	0.9	0.88	0.91	1
7b56	5	1	0.3843146753641931	0.85453785	[0.18314855214433629, 0.46238235674229583]	[0.7729701021775198, 0.8407393634183163]	[77.59659574468085, 90.8614893617021]	0.9	0.88	0.91	1
7b56	5	2	0.4120610049188445	0.87116417	[0.13296013384394292, 0.39968937187210085]	[0.7378936455501691, 0.8134525178599931]	[74.49584905660377, 90.3167924528302]	0.9	0.88	0.91	1
7b56	5	3	0.367917590829057	0.85453785	[0.7410951943359069, 0.7879678664815836]	[0.9501418323502231, 0.957191758804265]	[92.67558823529411, 94.04676470588235]	0.9	0.89	0.92	1
7b56	5	4	0.4343052088602076	0.87822061	[0.15624595697353133, 0.46533295698651367]	[0.7550568725790607, 0.8353836958771774]	[76.11901960784314, 91.60254901960785]	0.9	0.88	0.91	1
7dng	1	0	0.2864851435995746	0.80223507	[0.8739626372867998, 0.5615189998444945]	[0.9629577436163618, 0.9069167439760374]	[97.406, 88.95000000000003]	0.89	0.81	0.88	1
7dng	1	1	0.3097771365969722	0.81190228	[0.8705101872332738, 0.49571177021652113]	[0.9605400275632316, 0.888059867534226]	[97.48714285714287, 87.6807142857143]	0.9	0.83	0.9	1
7dng	1	2	0.2877855752345918	0.80223507	[0.6594320467454566, 0.30316075390348857]	[0.9142408701904706, 0.8405833023040722]	[92.64684210526318, 81.34]	0.89	0.78	0.84	1
7dng	1	3	0.2476403800161517	0.78549007	[0.7734257143742127, 0.3348652632427949]	[0.9479050768020825, 0.8761890602407798]	[94.31937500000001, 80.06437500000001]	0.88	0.79	0.85	1
7dng	1	4	0.3028700824983446	0.81190228	[0.8794181001143246, 0.5815507333538675]	[0.9659496378111244, 0.9108357041154207]	[97.36333333333336, 89.48266666666667]	0.88	0.8	0.87	1
7dng	2	0	0.2565531043228294	0.78549007	[0.7912811427226586, 0.40599593657013444]	[0.952241804054603, 0.8757935905471462]	[94.68357142857141, 84.2357142857143]	0.86	0.77	0.85	1
7dng	2	1	0.3637570669620792	0.84294946	[0.6287110210011464, 0.09811760666290843]	[0.8832713474290143, 0.7143700554186098]	[94.4731034482759, 70.44862068965516]	0.88	0.73	0.82	1
7dng	2	2	0.2563173952616256	0.78549007	[0.5662757425787616, 0.1128331218586459]	[0.8882496508512003, 0.7500428262279606]	[91.04296296296296, 69.9337037037037]	0.86	0.73	0.82	1
7dng	2	3	0.2460157875712011	0.78549007	[0.8335540080776809, 0.3322664106905752]	[0.9467503067835528, 0.8227463715630432]	[97.16200000000002, 85.09333333333332]	0.89	0.78	0.84	1
7dng	2	4	0.3352811573179131	0.83367787	[0.8220077632678967, 0.3537120412930416]	[0.9460404220379475, 0.8375050285151746]	[96.70133333333334, 84.96066666666665]	0.89	0.79	0.86	1
7dng	3	0	0.2720115922709427	0.80223507	[0.845267957255029, 0.4010584138713617]	[0.9562540905431258, 0.8623624326807924]	[96.73733333333332, 85.27133333333335]	0.89	0.79	0.87	1
7dng	3	1	0.1173094865301266	0.68635536	[0.49289512654547696, 0.10384076267535454]	[0.8694936183095722, 0.7387738432050273]	[89.41153846153846, 69.28769230769231]	0.86	0.61	0.72	1
7dng	3	2	0.2813207265653363	0.80223507	[0.811921349379156, 0.3546842536308691]	[0.9440101155022816, 0.8463152131148226]	[96.44625, 84.13625]	0.88	0.76	0.84	1
7dng	3	3	0.331441515218279	0.83367787	[0.6633010965512687, 0.13480431151818215]	[0.8926482538653829, 0.7538242622371055]	[95.06500000000001, 73.20333333333333]	0.89	0.77	0.84	1
7dng	3	4	0.2879326233946381	0.80223507	[0.813693208219871, 0.3246509930437383]	[0.9410958379474568, 0.8281719941328071]	[96.82625, 84.030625]	0.89	0.79	0.87	1
7dng	4	0	0.339093549395962	0.83367787	[0.893625824038249, 0.613488209102583]	[0.9711689856750789, 0.9161396950690373]	[97.51882352941176, 90.40235294117646]	0.9	0.82	0.87	1
7dng	4	1	0.2516803133649106	0.78549007	[0.7351437973342231, 0.24166666966884984]	[0.9293141130652638, 0.8355389609067247]	[94.48722222222221, 77.18611111111113]	0.88	0.75	0.83	1
7dng	4	2	0.2712095830203641	0.80223507	[0.8888609595238373, 0.6701728161215856]	[0.9741635040929686, 0.9361402014175876]	[96.99083333333333, 90.94833333333332]	0.89	0.82	0.89	1
7dng	4	3	0.2890723310262739	0.80223507	[0.8787641018640745, 0.5840785386884066]	[0.9662258149375029, 0.9103673819315111]	[97.304375, 89.64374999999998]	0.88	0.8	0.89	1
7dng	4	4	0.2992873178469493	0.81190228	[0.9009598731795473, 0.6796500284331336]	[0.9753743878396641, 0.9346917351717567]	[97.451875, 91.50375]	0.89	0.82	0.9	1
7dng	5	0	0.2894459580397368	0.80223507	[0.8075359143249404, 0.3212958739714891]	[0.9382468091073061, 0.827945942739732]	[96.83722222222222, 83.82833333333335]	0.88	0.77	0.86	1
7dng	5	1	0.1963988813813078	0.74006263	[0.6574880081419106, 0.20007017164472543]	[0.9275062439483176, 0.8254455311101816]	[91.23615384615385, 74.37923076923076]	0.86	0.73	0.83	1
7dng	5	2	0.2906510575991796	0.80223507	[0.7201300870520143, 0.22669130948780697]	[0.9283636479242696, 0.8224943109291264]	[93.9161111111111, 77.1211111111111]	0.85	0.74	0.82	1
7dng	5	3	0.2677366052564004	0.80223507	[0.8203367257449911, 0.35634241458007715]	[0.943805523425079, 0.8367828880279179]	[96.85333333333332, 85.198]	0.88	0.77	0.85	1
7dng	5	4	0.2613299998924333	0.78549007	[0.4408401300376778, 0.45578912333456467]	[0.8549305031193482, 0.8511985885776809]	[88.2075, 89.395625]	0.9	0.81	0.88	1
7e0b	1	0	0.3807326135526203	0.85453785	[0.9600240678620857, 0.9262120575747622]	[0.990765041850812, 0.9821378197853055]	[98.87766666666667, 98.0163333333333]	0.94	0.94	0.97	1
7e0b	1	1	0.3579413822658957	0.84294946	[0.9591291354270288, 0.924781942428015]	[0.990177384424809, 0.9808651322526383]	[98.88967741935484, 98.0722580645161]	0.93	0.93	0.97	1
7e0b	1	2	0.3916596886149686	0.86040801	[0.9584833785137027, 0.9197367739963671]	[0.9899278223232784, 0.9795357542931635]	[98.88096774193549, 97.95483870967742]	0.93	0.94	0.97	1
7e0b	1	3	0.3919602435470645	0.86040801	[0.9585585414954946, 0.9191981510624797]	[0.9899121023327319, 0.9792242357739522]	[98.88645161290324, 97.9593548387097]	0.93	0.94	0.97	1
7e0b	1	4	0.3738655812990045	0.85453785	[0.9526952315320742, 0.8770260255440196]	[0.9876283539136322, 0.9665415549183164]	[98.81064516129032, 97.19000000000001]	0.93	0.93	0.96	1
7e0b	2	0	0.3807384726960849	0.85453785	[0.959695716887991, 0.9246329520649879]	[0.990419853026384, 0.9813706062053001]	[98.89500000000002, 98.0143333333333]	0.93	0.93	0.97	1
7e0b	2	1	0.3811368933831456	0.85453785	[0.9599650030014095, 0.9291678776909645]	[0.9906658812414245, 0.9832924731996664]	[98.88448275862066, 98.04862068965518]	0.94	0.94	0.97	1
7e0b	2	2	0.3713551483648383	0.85453785	[0.9616653973678021, 0.9402505999594641]	[0.9912827163150542, 0.9862547190087989]	[98.91172413793102, 98.31103448275863]	0.94	0.94	0.97	1
7e0b	2	3	0.3738824779040356	0.85453785	[0.9548352960775376, 0.8838799041921807]	[0.9883918846001055, 0.9690670634680398]	[98.845, 97.26249999999999]	0.93	0.93	0.96	1
7e0b	2	4	0.3664232059726162	0.85453785	[0.9591781925233219, 0.9125414143245993]	[0.9902932171379243, 0.9781493482580523]	[98.88066666666664, 97.73900000000002]	0.94	0.93	0.97	1
7e0b	3	0	0.3594869938435339	0.84294946	[0.960635677256694, 0.931552960591324]	[0.9907367209063341, 0.9832830684536186]	[98.91241379310347, 98.16896551724135]	0.93	0.94	0.97	1
7e0b	3	1	0.3816621823549097	0.85453785	[0.9596568307436227, 0.9234248413151003]	[0.9903300930555189, 0.9805547230278097]	[98.90193548387096, 98.0358064516129]	0.93	0.94	0.97	1
7e0b	3	2	0.3820058362263063	0.85453785	[0.9612787639212077, 0.9339123795019455]	[0.9910874428817381, 0.9844434113289756]	[98.91099999999999, 98.17166666666668]	0.94	0.94	0.97	1
7e0b	3	3	0.3725887075927234	0.85453785	[0.9629200088895975, 0.9428559122257021]	[0.9916774408744372, 0.986896659539194]	[98.93799999999996, 98.3793333333333]	0.94	0.94	0.97	1
7e0b	3	4	0.3811017387133497	0.85453785	[0.9581135075884954, 0.9153759701580212]	[0.9896963521933584, 0.9773624688322525]	[98.88483870967738, 97.95709677419354]	0.93	0.93	0.97	1
7e0b	4	0	0.3806740220973673	0.85453785	[0.9576112124345778, 0.9143222380437068]	[0.9895639606687427, 0.9774015876763373]	[98.87193548387096, 97.90129032258066]	0.93	0.93	0.97	1
7e0b	4	1	0.3600387722368879	0.84294946	[0.9626021046545455, 0.9432419525069289]	[0.9918514237142999, 0.9874550474720657]	[98.904, 98.34333333333333]	0.94	0.94	0.97	1
7e0b	4	2	0.3777151735516762	0.85453785	[0.9559040080223489, 0.9074659249407656]	[0.9887684801613843, 0.9759701231055982]	[98.86275862068962, 97.70862068965515]	0.93	0.93	0.96	1
7e0b	4	3	0.3706669435368148	0.85453785	[0.9598983792276101, 0.9261207982435107]	[0.9905290549488662, 0.9819019367595572]	[98.89466666666667, 98.03533333333331]	0.94	0.94	0.97	1
7e0b	4	4	0.3703764874440409	0.85453785	[0.9591068047913421, 0.9228293399355563]	[0.9902693174845907, 0.9806404113589744]	[98.87933333333334, 97.99766666666667]	0.93	0.94	0.97	1
7e0b	5	0	0.3831875234163939	0.85453785	[0.9616024536023627, 0.9363721516465767]	[0.991180165054455, 0.9851340158467311]	[98.91866666666665, 98.22666666666665]	0.94	0.94	0.97	1
7e0b	5	1	0.3822931506484832	0.85453785	[0.9610673841760541, 0.931947403461711]	[0.9910494165842084, 0.9835304037665978]	[98.90375, 98.1640625]	0.94	0.94	0.97	1
7e0b	5	2	0.3702536058850066	0.85453785	[0.9588281005147118, 0.9212096408914981]	[0.9899783716966793, 0.9797102732333717]	[98.89387096774195, 98.01032258064518]	0.93	0.94	0.97	1
7e0b	5	3	0.3927540817586336	0.86040801	[0.9604121816156682, 0.9289163047317341]	[0.9905805924061332, 0.9822176189853149]	[98.91633333333334, 98.1433333333333]	0.93	0.94	0.97	1
7e0b	5	4	0.3790593735991175	0.85453785	[0.9576818761327621, 0.9071334172005687]	[0.9893966240366237, 0.9758375306242656]	[98.89233333333333, 97.70566666666664]	0.93	0.93	0.97	1
7e3m	1	0	0.2002767124237682	0.75941223	[0.9072870025424531, 0.6927654305442584]	[0.9740023246900136, 0.9379491886927142]	[97.89727272727274, 91.75818181818181]	0.96	0.93	0.95	1
7e3m	1	1	0.1659418332548488	0.73044282	[0.8732360217348828, 0.6327595973799658]	[0.9595058018119912, 0.9204680260406171]	[97.7218181818182, 90.83545454545454]	0.95	0.9	0.93	1
7e3m	1	2	0.1740952494557522	0.73044282	[0.8676588236626249, 0.5999209514959775]	[0.9584577500118839, 0.914219510535009]	[97.56363636363636, 89.98181818181818]	0.95	0.9	0.93	1
7e3m	1	3	0.1816461379493152	0.74006263	[0.8909332038395021, 0.6668701860500077]	[0.9657440484742075, 0.9293073741781005]	[97.93636363636364, 91.47181818181816]	0.95	0.91	0.94	1
7e3m	1	4	0.1924171021308206	0.74006263	[0.8883189458004777, 0.6668365079971298]	[0.965513757528101, 0.9313750320017569]	[97.83363636363637, 91.26727272727273]	0.95	0.91	0.94	1
7e3m	2	0	0.1844717670025323	0.74006263	[0.9076055370614192, 0.7118316002563428]	[0.9726128926390508, 0.9439960199806534]	[98.05272727272727, 91.9990909090909]	0.96	0.93	0.95	1
7e3m	2	1	0.164613321234377	0.73044282	[0.8579339038130191, 0.6059948181782159]	[0.9530132322010162, 0.9129310798670425]	[97.66, 90.38272727272728]	0.95	0.9	0.92	1
7e3m	2	2	0.1787096954625307	0.74006263	[0.8552427625238674, 0.5882543090337811]	[0.9530693015028979, 0.9040549046728311]	[97.52749999999999, 90.46083333333333]	0.95	0.89	0.92	1
7e3m	2	3	0.1961752282864858	0.74006263	[0.9068142866285319, 0.6944266904384311]	[0.9731037059922453, 0.9367696440648672]	[97.96454545454544, 91.94636363636363]	0.96	0.93	0.95	1
7e3m	2	4	0.1823221262816767	0.74006263	[0.8950734653511945, 0.6765538768159836]	[0.9677388414701725, 0.9318374298407648]	[97.93454545454546, 91.64818181818181]	0.95	0.92	0.94	1
7e3m	3	0	0.1837181083535	0.74006263	[0.893747149857335, 0.6825340168762363]	[0.9667993221703636, 0.9304907113125231]	[97.96545454545453, 92.04363636363635]	0.95	0.92	0.94	1
7e3m	3	1	0.1832185879287496	0.74006263	[0.8898224169602008, 0.6804217080567676]	[0.9654842660247168, 0.9308115982828437]	[97.9090909090909, 91.9190909090909]	0.95	0.92	0.94	1
7e3m	3	2	0.1854196145963093	0.74006263	[0.9005001382345137, 0.6997347157832509]	[0.9692209673457519, 0.9351507544464734]	[98.04818181818182, 92.33818181818184]	0.95	0.92	0.94	1
7e3m	3	3	0.1823600020118856	0.74006263	[0.8857251265256493, 0.667149203130196]	[0.963602523332224, 0.9269262834172931]	[97.90272727272728, 91.71909090909092]	0.95	0.91	0.94	1
7e3m	3	4	0.1937860903956254	0.74006263	[0.8846785387665751, 0.6655003874754474]	[0.9631878561503875, 0.9265591005861715]	[97.89454545454545, 91.68272727272728]	0.95	0.91	0.93	1
7e3m	4	0	0.1569413009097355	0.73044282	[0.888654812372835, 0.6702182179915257]	[0.966454706476987, 0.9316178206317208]	[97.75454545454546, 91.39181818181818]	0.95	0.92	0.94	1
7e3m	4	1	0.1582065456237859	0.73044282	[0.8928716931751421, 0.6750872766239537]	[0.9676653808393284, 0.9308785389474]	[97.83545454545455, 91.67818181818183]	0.95	0.92	0.94	1
7e3m	4	2	0.1701486473361961	0.73044282	[0.8906484054161212, 0.6679695228689246]	[0.9652142179621781, 0.9268416013183359]	[97.97636363636364, 91.76363636363635]	0.95	0.91	0.94	1
7e3m	4	3	0.1939369729764557	0.74006263	[0.8907585713679306, 0.6721874322045293]	[0.9658132970940237, 0.9295395867105747]	[97.92090909090908, 91.68272727272728]	0.95	0.92	0.94	1
7e3m	4	4	0.1933289511979439	0.74006263	[0.8856817298376126, 0.6651642393078204]	[0.9635730318288396, 0.9286007147267754]	[97.90363636363637, 91.46636363636365]	0.95	0.91	0.94	1
7e3m	5	0	0.1822463933195076	0.74006263	[0.8850431108603142, 0.6756450030224188]	[0.9632440007595325, 0.9314412569877519]	[97.90636363636364, 91.64727272727272]	0.95	0.91	0.94	1
7e3m	5	1	0.1946977496874211	0.74006263	[0.8913633665071383, 0.6692684472043157]	[0.9658413798488616, 0.9274292129985661]	[97.94727272727272, 91.76272727272728]	0.95	0.91	0.94	1
7e3m	5	2	0.1913988840382462	0.74006263	[0.8792494264641922, 0.6369115718318479]	[0.9625237156841553, 0.9197976327107128]	[97.70181818181818, 91.08636363636364]	0.95	0.91	0.93	1
7e3m	5	3	0.1929327505681966	0.74006263	[0.8950084857089052, 0.728420521970232]	[0.9687319695803142, 0.9475231976805878]	[97.83099999999999, 92.378]	0.96	0.92	0.94	1
7e3m	5	4	0.1697225275049632	0.73044282	[0.8855946323998626, 0.6691270811364123]	[0.9635318032798691, 0.9303063291513667]	[97.90363636363637, 91.47272727272728]	0.95	0.91	0.94	1
7egs	1	0	0.2739130008917869	0.80223507	[0.3994883247634394, 0.4369808816616963]	[0.7776420934918861, 0.8198504562364254]	[94.46333333333332, 91.76466666666667]	0.86	0.68	0.74	1
7egs	1	1	0.2819879342713182	0.80223507	[0.25251654374696864, 0.15778769950920576]	[0.6934336618709072, 0.7114902583760901]	[94.06512195121951, 80.99585365853659]	0.87	0.72	0.77	1
7egs	1	2	0.2770081696075752	0.80223507	[0.43918125469654284, 0.47984897240572577]	[0.7968322004970975, 0.8423853005591185]	[94.54296296296296, 91.60814814814815]	0.86	0.69	0.75	1
7egs	1	3	0.2712628520500834	0.80223507	[0.42910805151232545, 0.4569390889629943]	[0.7934822419174616, 0.8351387750693177]	[94.35333333333331, 91.17700000000004]	0.86	0.69	0.75	1
7egs	1	4	0.2575349180062947	0.78549007	[0.39410788633211546, 0.3833322120404525]	[0.7725274137948333, 0.8051306637673609]	[94.74933333333333, 90.25233333333334]	0.86	0.69	0.74	1
7egs	2	0	0.3205506753093975	0.82238224	[0.3134908251222123, 0.2060712012386826]	[0.7325183666173704, 0.745942667951746]	[94.14947368421049, 82.94710526315788]	0.87	0.71	0.76	1
7egs	2	1	0.2654025599471064	0.78549007	[0.48749532641328297, 0.5046651971869711]	[0.8179374419653342, 0.8522943575523603]	[94.758125, 91.8165625]	0.87	0.71	0.76	1
7egs	2	2	0.2505241930574419	0.78549007	[0.3829843441094548, 0.3880225197330363]	[0.7729456310162811, 0.8140893404357272]	[93.988, 89.54466666666667]	0.86	0.68	0.74	1
7egs	2	3	0.2832245431468718	0.80223507	[0.25007770585253086, 0.18977259107003183]	[0.6894559725145166, 0.726087448204651]	[94.37108108108109, 83.38810810810811]	0.86	0.68	0.74	1
7egs	2	4	0.2724477318852604	0.80223507	[0.35869246384931397, 0.4302851232695193]	[0.7571593762982051, 0.8172327290657148]	[94.31870967741938, 91.67838709677417]	0.86	0.67	0.73	1
7egs	3	0	0.2275302185215632	0.77766077	[0.3396578593805937, 0.40428812601201586]	[0.7471368630628448, 0.803508368324421]	[94.23999999999997, 91.71137931034485]	0.86	0.67	0.73	1
7egs	3	1	0.1641235986521216	0.73044282	[0.009720294410827855, 0.010467818604247475]	[0.11226711827425043, 0.13481694643343475]	[83.96107142857144, 84.6232142857143]	0.77	0.15	0.29	1
7egs	3	2	0.2565314696452704	0.78549007	[0.2752764810752001, 0.27395105225244704]	[0.7068364208724882, 0.755112515979712]	[94.35718750000001, 88.215]	0.86	0.67	0.73	1
7egs	3	3	0.2183637358481588	0.75941223	[0.009735624211917664, 0.010310099429858072]	[0.11182934130599215, 0.130179764489724]	[84.68076923076924, 84.60538461538462]	0.77	0.14	0.29	1
7egs	3	4	0.3011624626186362	0.81190228	[0.2877750974698865, 0.2007389927131337]	[0.7147789009281773, 0.7312281785506665]	[94.38162162162163, 84.03648648648652]	0.86	0.7	0.75	1
7egs	4	0	0.2550846255816107	0.78549007	[0.3427667305119526, 0.2990409752481592]	[0.7479485411819082, 0.7813270239384456]	[94.3603125, 87.2009375]	0.86	0.69	0.75	1
7egs	4	1	0.2679166476480589	0.80223507	[0.25599038947580816, 0.15398314868490245]	[0.6932561873274288, 0.7100559405563132]	[94.4215, 80.62225]	0.87	0.71	0.76	1
7egs	4	2	0.2684826420651972	0.80223507	[0.23464006262457074, 0.1492158631672638]	[0.6782836207113377, 0.7043005331399754]	[94.3576923076923, 80.58512820512817]	0.87	0.7	0.75	1
