clean_query	multimer_frac_tm0.0	multimer_frac_tm0.6	multimer_frac_tm0.9	multimer_frac_tm0.8	multimer_frac_tm0.1	multimer_frac_tm0.2	multimer_frac_tm0.3	multimer_frac_tm0.4	multimer_frac_tm0.5	multimer_frac_tm0.7	hm_frac_tm0.0	hm_frac_tm0.6	hm_frac_tm0.9	hm_frac_tm0.8	hm_frac_tm0.5	hm_frac_tm0.4	hm_frac_tm0.1	hm_frac_tm0.2	hm_frac_tm0.3	hm_frac_tm0.7	highest_match_all_hits	highest_tm_all_hits	stoich_all_hits	highest_match_multimers	highest_tm_multimers	stoich_multimers	highest_match_homomultimers	highest_tm_homomultimers	category	stoich_homomultimers	max_iptm	min_iptm	avg_iptm	max_rc	min_rc	avg_rc	pdbid_x	structural_consensus	correct_result	pdbid_y	num_contacts_with_max_n_models	num_unique_contacts	mean_contacts_across_predictions	min_contacts_across_predictions	best_num_residue_contacts	best_if_residues	best_plddt_max	best_pae_min	best_contact_score_max	ID	buried_apolar_area	buried_polar_area	total_interaction_area	fraction_buried_apolar_area	fraction_buried_polar_area
7aik	0.913	0.939	1.0	0.9686	0.913	0.9159	0.9279	0.9472	0.9468	0.9754	0.6304	0.6992	1.0	0.7547	0.6418	0.6444	0.6304	0.6324	0.6361	0.7931	2rcc-assembly2_C	0.9451	homodimer	2rcc-assembly2_C	0.9451	homodimer	2rcc-assembly2_C	0.9451	homodimer	homodimer	0.9488993	0.94582415	0.9475579556	0.950412299826872	0.9473786800977227	0.9490919633988604	7aik	0.9992000333333332	1	7aik	162.0	224.0	196.0	182.0	201.0	130.0	99.0	0.9536652	1718.0	7aik	3875.0688	1785.4144	5660.4824	0.6845827839690837	0.315417357361627
7als	0.3587	0.3823	0.2308	0.4035	0.3587	0.3587	0.3587	0.3583	0.3654	0.4224	0.338	0.3758	0.2308	0.3976	0.3564	0.3375	0.338	0.338	0.338	0.4168	7aen-assembly1	0.9987	monomer	2d6k-assembly1_B	0.9287	homodimer	2d6k-assembly1_B	0.9287	homodimer	homodimer	0.5949486	0.097586975	0.220776794	0.627821770863095	0.1807301563448053	0.291014897407987	7als	0.5927751333333333	1	7als	11.0	106.0	10.0	0.0	32.0	30.0	88.0	4.279401	286.0	7als	873.9191999999999	763.3103999999998	1637.2300000000005	0.5337791269400144	0.466220628744892
7arz	0.9243	0.8939	0.6667	0.888	0.9243	0.9243	0.9243	0.9158	0.8755	0.8943	0.8983	0.8612	0.6667	0.84	0.8444	0.8868	0.8983	0.8983	0.8983	0.859	8j3o-assembly2	0.9315	monomer	8j3p-assembly1_A	0.9285	homodimer	8j3p-assembly1_A	0.9285	homodimer	homodimer	0.939774	0.9364737	0.9378431076	0.9406311631382934	0.9372094590469456	0.9387358655631032	7arz	0.993202	1	7arz	211.0	244.0	228.0	224.0	236.0	152.0	99.0	0.8562148	2210.0	7arz	4156.4984	1775.1628000000003	5931.663199999999	0.700730682079185	0.2992689807472549
7awv	0.8015	0.931	0.0	0.9767	0.8015	0.8015	0.8	0.8065	0.9249	0.9921	0.7753	0.931	0.0	0.9767	0.9249	0.7978	0.7753	0.7753	0.781	0.9921	2d5i-assembly1_A	0.8605	homodimer	2d5i-assembly1_A	0.8605	homodimer	2d5i-assembly1_A	0.8605	homodimer	homodimer	0.9411352	0.93658817	0.9387368968	0.9424486466056	0.9381162652162076	0.940163097642329	7awv	0.9985336333333332	1	7awv	89.0	99.0	93.0	91.0	96.0	72.0	99.0	0.85760814	2991.0	7awv	1784.4372	879.1031999999998	2663.5424	0.669948862086821	0.3300503870334483
7ayc	0.893	0.8897	0.0	0.7838	0.893	0.893	0.8942	0.8965	0.8889	0.8881	0.8745	0.8725	0.0	0.7635	0.8723	0.8789	0.8745	0.8745	0.8757	0.8706	1n9g-assembly1_E	0.8917	heteromultimer_3_or_more_copies	1n9g-assembly1_E	0.8917	heteromultimer_3_or_more_copies	4was-assembly1_B	0.8906	homodimer	homodimer	0.9136038	0.9080278	0.911317164	0.9146850816456062	0.9092612443254182	0.9124698007374518	7ayc	0.9979372666666666	1	7ayc	73.0	83.0	78.0	75.0	81.0	58.0	99.0	0.86181587	1815.0	7ayc	1521.1008000000002	704.2451999999996	2225.3476	0.6835340240778566	0.3164652569333437
7ayw	0.7264	0.6436	1.0	1.0	0.7264	0.7264	0.7264	0.7077	0.6946	0.7586	0.0925	0.1634	1.0	0.3043	0.1275	0.0988	0.0925	0.0925	0.0925	0.1379	7nl8-assembly1_A-2	0.9388	homodimer	7nl8-assembly1_A-2	0.9388	homodimer	7nl8-assembly1_A-2	0.9388	homodimer	homodimer	0.13904907	0.09381062	0.10828010156	0.2080083433478789	0.1666324309816457	0.1800596618091359	7ayw	0.6094825333333334	1	7ayw	5.0	5.0	0.0	0.0	5.0	6.0	70.0	13.891432	193.0	7ayw	1421.8096000000005	745.1015999999998	2166.9108	0.6561458828854424	0.3438543017091427
7b0m	0.9736	0.9718	0.9444	0.9621	0.9736	0.9736	0.9736	0.9736	0.9736	0.9548	0.9446	0.9549	0.9444	0.9621	0.9446	0.9446	0.9446	0.9446	0.9446	0.9367	3dr7-assembly2_D	0.9576	homodimer	3dr7-assembly2_D	0.9576	homodimer	3dr7-assembly2_D	0.9576	homodimer	homodimer	0.9466958	0.94393456	0.9453868	0.9485655463987924	0.9462490359996112	0.9474591455046282	7b0m	0.999432	1	7b0m	135.0	162.0	150.0	145.0	153.0	120.0	99.0	0.98081064	1494.0	7b0m	3042.034	1514.004	4556.038	0.6676928506742043	0.3323071493257958
7b3a	0.6059	0.25	0.0	1.0	0.6059	0.6039	0.5597	0.5915	0.5263	1.0	0.5339	0.25	0.0	1.0	0.4211	0.5244	0.5339	0.5332	0.4934	1.0	3g3s-assembly1_B	0.8189	homodimer	3g3s-assembly1_B	0.8189	homodimer	3g3s-assembly1_B	0.8189	monomer	homodimer	0.14807871	0.095446214	0.12495168588	0.2264341865221182	0.1777772126541589	0.2054340240584212	7b3a	0.7131938	0	7b3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7b3a	1003.2296	938.9968	1942.2248000000004	0.5165362938419897	0.4834645299555436
7b4q	0.6202	0.5687	0.6667	0.5619	0.6202	0.6202	0.6202	0.6202	0.6202	0.5647	0.6069	0.5534	0.6667	0.5442	0.6069	0.6069	0.6069	0.6069	0.6069	0.549	1lzk-assembly1	0.9572	monomer	7yc4-assembly2_B	0.9038	homodimer	7yc4-assembly2_B	0.9038	homodimer	homodimer	0.9423835	0.93092394	0.9369121768	0.9432274324789852	0.9326114393834471	0.93821919318031	7b4q	0.9980365	1	7b4q	59.0	85.0	73.0	67.0	77.0	52.0	99.0	0.83581096	1471.0	7b4q	1233.7484	1276.3896	2510.141599999999	0.4915054991320013	0.5084930666859593
7b56_A	0.9435	0.0	0.0	0.0	0.9435	0.9435	0.7879	0.375	0.0	0.0	0.0645	0.0	0.0	0.0	0.0	0.0	0.0645	0.0645	0.1515	0.0	2l98-assembly1	0.5324	monomer	8iah-assembly1_8	0.479	heteromultimer_1_copy	2zn9-assembly1_B	0.3904	neg_heterodimer	homodimer	0.48775375	0.08160207	0.3277215979999999	0.5262728784497352	0.1496003889153075	0.3801263091940632	7b56_A	0.7460387	0	7b56_A	2.0	100.0	30.0	0.0	49.0	36.0	82.0	5.151677	248.0	7b56_A	930.976	841.3828	1772.3587999999995	0.525275130520976	0.4747248694790242
7b7q	0.8928	0.9341	1.0	1.0	0.8928	0.8942	0.8846	0.9263	0.9341	1.0	0.3248	0.6923	0.75	0.75	0.6923	0.6947	0.3248	0.3253	0.5962	0.759	6dc2-assembly2_C	0.9593	homodimer	6dc2-assembly2_C	0.9593	homodimer	6dc2-assembly2_C	0.9593	homodimer	homodimer	0.9595106	0.95468235	0.9570432956	0.959560604550681	0.9554513062585442	0.95750919588267	7b7q	0.9991218333333332	1	7b7q	265.0	342.0	301.0	291.0	314.0	190.0	99.0	0.92737436	1894.0	7b7q	4647.8332	3141.5728	7789.4036	0.5966866577564424	0.4033136503544379
7b9p	0.8571	0.9217	0.0	0.0	0.8571	0.8494	0.8983	0.9064	0.9064	0.8421	0.4432	0.3614	0.0	0.0	0.3626	0.3626	0.4432	0.4247	0.3729	0.7632	3o0o-assembly1_A	0.7575	homodimer	3o0o-assembly1_A	0.7575	homodimer	3o0o-assembly1_A	0.7575	homodimer	homodimer	0.9049578	0.86964786	0.8915236423999999	0.9075577940157684	0.8737928545143193	0.8944983402677997	7b9p	0.9905541666666666	1	7b9p	149.0	270.0	208.0	194.0	221.0	176.0	98.0	0.9350489	1186.0	7b9p	4124.012399999999	2223.9723999999987	6347.985599999998	0.6496568612253941	0.3503430127503754
7bia	0.9197	0.9234	0.7143	0.9592	0.9197	0.9197	0.9197	0.9197	0.9234	0.9229	0.8555	0.8585	0.7143	0.9404	0.8585	0.8555	0.8555	0.8555	0.8555	0.8575	6llx-assembly1	0.9962	monomer	6y1e-assembly2_C-2	0.9957	homodimer	6y1e-assembly2_C-2	0.9957	homodimer	homodimer	0.94606006	0.9385934	0.9429487888	0.9475618464844572	0.940297983795152	0.9444937372684622	7bia	0.9991678333333334	1	7bia	80.0	87.0	84.0	82.0	86.0	62.0	99.0	0.85376316	1219.0	7bia	1450.5676	976.036	2426.6048000000005	0.5977766136455346	0.4022228918363631
7bll	0.6376	0.325	0.0	0.0	0.6376	0.6323	0.5067	0.3204	0.3069	0.4688	0.1965	0.075	0.0	0.0	0.0693	0.068	0.1965	0.1973	0.1267	0.0938	5cjz-assembly1	0.858	monomer	3qnk-assembly1_A	0.7888	homodimer	3qnk-assembly1_A	0.7888	monomer	homodimer	0.19920994	0.15985426	0.1743822888	0.2708858777067886	0.2363663239707969	0.2488721219428385	7bll	0.74231645	0	7bll	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7bll	1983.2836	1702.2855999999997	3685.5728	0.538120858716995	0.4618781645013223
7d54	0.7234	0.3594	0.0	0.4	0.7234	0.7234	0.7597	0.7709	0.5684	0.2	0.4621	0.125	0.0	0.4	0.1684	0.4302	0.4621	0.4621	0.4787	0.0667	1o1y-assembly1	0.8401	monomer	1o1y-assembly2_A	0.8401	homodimer	1o1y-assembly2_A	0.8401	homodimer	homodimer	0.25038153	0.14026043	0.1819769828	0.3192705303282827	0.2195711173372066	0.2573115097046951	7d54	0.66078665	1	7d54	3.0	22.0	2.0	0.0	16.0	16.0	84.0	12.06344	139.0	7d54	1012.6272	958.3916	1971.0188	0.5137582655223785	0.4862417344776214
7d6l	0.4169	0.4026	0.0	0.1944	0.4169	0.4169	0.4169	0.4161	0.3964	0.3671	0.1785	0.1522	0.0	0.1389	0.1583	0.1774	0.1785	0.1785	0.1785	0.1706	2puk-assembly2_G	0.8206	heteromultimer_1_copy	2puk-assembly2_G	0.8206	heteromultimer_1_copy	3hhv-assembly1_A	0.8127	monomer	homodimer	0.8118864	0.13866276	0.4463268548	0.8230782707440049	0.2157795920479557	0.4924571413760822	7d6l	0.9142599	0	7d6l	3.0	71.0	25.0	0.0	43.0	32.0	95.0	1.9940264	633.0	7d6l	501.1348	646.9739999999999	1148.1084	0.4364873560719527	0.5635129923272052
7da9	0.5305	0.3844	0.0	0.5847	0.5305	0.5305	0.5249	0.5176	0.433	0.3585	0.471	0.3822	0.0	0.5847	0.4092	0.4732	0.471	0.471	0.4721	0.3557	6ain-assembly2	0.9498	monomer	7on9-assembly1_A	0.8669	homodimer	7on9-assembly1_A	0.8669	homodimer	homodimer	0.9275499	0.26236722	0.8002158552	0.9304054340764462	0.3302972793070869	0.8148583993622587	7da9	0.9223208333333334	1	7da9	4.0	114.0	51.0	16.0	59.0	50.0	98.0	1.1713359	1024.0	7da9	956.9876	823.6188000000001	1780.6032000000007	0.5374513535637808	0.4625504435800181
7dcb	0.7649	1.0	0.0	1.0	0.7649	0.7631	0.744	1.0	1.0	1.0	0.6375	0.8861	0.0	0.9545	0.8953	0.8947	0.6375	0.6426	0.6618	0.8923	2a8n-assembly1_B	0.8323	homodimer	2a8n-assembly1_B	0.8323	homodimer	2a8n-assembly1_B	0.8323	homodimer	homodimer	0.89970434	0.8319881	0.873620092	0.9021614254574968	0.8344584690990783	0.8760646577381711	7dcb	0.8759739833333333	1	7dcb	48.0	321.0	137.0	48.0	230.0	168.0	99.0	0.8925954	1418.0	7dcb	3528.1204	1175.2732	4703.3956	0.7501219757062323	0.2498775990690641
7dck	0.3867	0.8235	0.0	0.25	0.3867	0.3867	0.3705	0.3317	0.2509	0.6667	0.3752	0.8235	0.0	0.25	0.2415	0.3233	0.3752	0.3752	0.3616	0.6667	2p4z-assembly1	0.8415	monomer	2p4z-assembly3_A	0.8415	homodimer	2p4z-assembly3_A	0.8415	homodimer	homodimer	0.9160396	0.903242	0.9108834776	0.9181838287604076	0.905844062319722	0.9132899438559808	7dck	0.9861291833333334	1	7dck	42.0	64.0	57.0	50.0	59.0	53.0	99.0	0.9525447	2791.0	7dck	988.1600000000002	915.7419999999998	1903.9023999999995	0.5190182017733685	0.4809815881318287
7dik	0.5943	0.1405	0.0	0.0714	0.5943	0.5943	0.5897	0.5948	0.3047	0.0962	0.5314	0.0992	0.0	0.0571	0.2275	0.5294	0.5314	0.5314	0.5278	0.0769	7dip-assembly1	0.9996	monomer	3rhc-assembly1_B	0.8752	homodimer	3rhc-assembly1_B	0.8752	monomer	homodimer	0.69961107	0.13436808	0.5449175328	0.7227383175069806	0.2124109813711659	0.5828221168043797	7dik	0.7186523	0	7dik	2.0	60.0	13.0	0.0	19.0	20.0	91.0	2.8413286	581.0	7dik	311.85	252.4136	564.2648	0.5526660532430872	0.447331820095813
7dkm	0.8905	0.8904	1.0	0.9045	0.8905	0.8905	0.8901	0.8858	0.9103	0.9051	0.8505	0.8638	1.0	0.8643	0.876	0.8462	0.8505	0.8505	0.8499	0.8759	1wwk-assembly1_B	0.9296	homodimer	1wwk-assembly1_B	0.9296	homodimer	1wwk-assembly1_B	0.9296	homodimer	homodimer	0.93370885	0.9179387	0.9272546212	0.93467646223805	0.9189879080358038	0.9282149514807188	7dkm	0.9984830666666666	1	7dkm	176.0	206.0	194.0	185.0	202.0	138.0	99.0	0.8439617	2144.0	7dkm	3044.8628000000003	2165.8564	5210.722	0.5843456626548107	0.4156537999916326
7dnr	0.6707	0.6408	0.8182	0.9286	0.6707	0.6702	0.6631	0.6462	0.7185	0.9492	0.5181	0.6117	0.8182	0.9286	0.6963	0.4554	0.5181	0.5189	0.4767	0.9492	2vf4-assembly1	0.9568	monomer	2v4m-assembly1_A	0.9428	homodimer	2v4m-assembly1_A	0.9428	homodimer	homodimer	0.9464048	0.91485167	0.938911216	0.9486678549103004	0.919865413639246	0.941694598614524	7dnr	0.9977079666666668	1	7dnr	145.0	216.0	187.0	170.0	193.0	144.0	99.0	1.051093	2207.0	7dnr	2887.9684	2465.2548	5353.2224	0.5394822378386521	0.4605179116040461
7dnu	0.4576	0.3333	0.0	0.0	0.4576	0.4583	0.4584	0.4745	0.4063	0.0	0.3295	0.2903	0.0	0.0	0.3684	0.3462	0.3295	0.33	0.3345	0.0	4ijx-assembly3_B-2	0.6952	homodimer	4ijx-assembly3_B-2	0.6952	homodimer	4ijx-assembly3_B-2	0.6952	homodimer	homodimer	0.49697214	0.095936716	0.20219899256	0.4954515044520592	0.1661373259943727	0.249683840709239	7dnu	0.5604390333333333	1	7dnu	256.0	669.0	72.0	0.0	470.0	288.0	85.0	1.5858834	1249.0	7dnu	3227.8812	1848.3472000000004	5076.227999999999	0.6358818398227977	0.3641182389758696
7dut	0.8147	0.8519	0.0	0.7647	0.8147	0.8147	0.8102	0.8309	0.85	0.8372	0.5796	0.5967	0.0	0.7059	0.5893	0.6132	0.5796	0.5796	0.5766	0.5988	2bek-assembly2_C	0.8273	homodimer	2bek-assembly2_C	0.8273	homodimer	2bek-assembly2_C	0.8273	homodimer	homodimer	0.8872421	0.8628007	0.8784826592	0.8939478843549578	0.8723563905425298	0.8861333043230176	7dut	0.9835260666666668	1	7dut	25.0	74.0	59.0	31.0	68.0	46.0	98.0	1.1317983	953.0	7dut	1030.3128000000002	772.1332000000001	1802.4436	0.5716199941013412	0.4283813374243722
7dw7	0.7143	0.1154	0.0	0.0	0.7143	0.6786	0.6	0.598	0.2581	0.0	0.3359	0.0	0.0	0.0	0.0645	0.4902	0.3359	0.375	0.5	0.0	6lyk-assembly1	0.9987	monomer	3d54-assembly3_A	0.6713	heteromultimer_2_copies	5cc8-assembly1_A	0.5033	monomer	homodimer	0.25791803	0.21176429	0.2304016824	0.3253052994947136	0.2842172717088373	0.3011144794306233	7dw7	0.5813548666666667	0	7dw7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7dw7	6650.2712	6245.370799999999	12895.6424	0.515699101581787	0.484300867399983
7dzz	0.4066	0.4233	0.1667	0.3636	0.4066	0.4032	0.397	0.3842	0.387	0.2069	0.3371	0.3533	0.1667	0.3636	0.3008	0.3126	0.3371	0.3333	0.3271	0.1379	8h7y-assembly1	0.9957	monomer	5nci-assembly1_B	0.9235	homodimer	5nci-assembly1_B	0.9235	homodimer	homodimer	0.8982556	0.8009183	0.8610727824	0.9013989879757314	0.8116629529434491	0.8675680696535042	7dzz	0.9788800833333332	1	7dzz	40.0	80.0	61.0	46.0	71.0	54.0	99.0	1.0550342	1430.0	7dzz	1494.6868	424.5672000000003	1919.2536	0.7787854611813677	0.221214747232987
7e0b_A	0.4914	0.559	0.0	0.6293	0.4914	0.4914	0.4914	0.4866	0.4705	0.5637	0.1258	0.1431	0.0	0.1552	0.1236	0.1237	0.1258	0.1258	0.1258	0.1533	5ovc-assembly1_A	0.845	heterodimer	5ovc-assembly1_A	0.845	heterodimer	3r69-assembly3_A	0.8275	neg_heterodimer	homodimer	0.29283437	0.06381501	0.09245445212	0.3508956858051422	0.1479922948897928	0.1710639264179111	7e0b_A	0.5745177499999999	0	7e0b_A	34.0	34.0	1.0	0.0	29.0	23.0	82.0	7.4139314	225.0	7e0b_A	638.8092	547.3324	1186.1408	0.53856102074897	0.4614396537072158
7e2b	0.6388	0.4103	0.0	0.1373	0.6388	0.6388	0.6346	0.6075	0.5709	0.1548	0.5455	0.4038	0.0	0.1373	0.5394	0.5639	0.5455	0.5455	0.558	0.1548	7e2a-assembly1	0.9995	monomer	3qvq-assembly2_C-2	0.8594	homodimer	3qvq-assembly2_C-2	0.8594	monomer	homodimer	0.35874504	0.10946086	0.20123697424	0.4167829834688207	0.1935251544687354	0.2755342000608096	7e2b	0.6712715	0	7e2b	2.0	11.0	1.0	0.0	9.0	15.0	88.0	14.077786	111.0	7e2b	939.6096	784.3328000000002	1723.938	0.545036770463903	0.4549657818320614
7e3f	0.2717	0.2506	0.0	0.1719	0.2717	0.269	0.269	0.269	0.2697	0.2203	0.0819	0.0694	0.0	0.0469	0.0811	0.0809	0.0819	0.0809	0.0809	0.0622	5fpw-assembly1	0.9505	monomer	1cte-assembly1_B	0.8265	homodimer	1cte-assembly1_B	0.8265	monomer	homodimer	0.15114577	0.09828386	0.12572633416	0.2300617667399049	0.1829178698248686	0.2074134503265867	7e3f	0.6652562499999999	0	7e3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7e3f	1227.4096000000002	1101.8364	2329.2468	0.5269555806623842	0.4730440758789493
7e3m_A	0.469	0.469	0.0241	0.4499	0.469	0.469	0.469	0.469	0.469	0.469	0.2279	0.2279	0.012	0.2279	0.2279	0.2279	0.2279	0.2279	0.2279	0.2272	4wlb-assembly1_B-2	0.9836	heteromultimer_2_copies	4wlb-assembly1_B-2	0.9836	heteromultimer_2_copies	5w4r-assembly1_B-2	0.937	neg_heterodimer	homodimer	0.6078709	0.17353952	0.2708038192	0.596636131961587	0.2477381082482211	0.3309713290258713	7e3m_A	0.8295818333333334	0	7e3m_A	1.0	91.0	6.0	0.0	61.0	51.0	82.0	5.4876237	169.0	7e3m_A	1523.0759999999998	649.9691999999999	2173.0428	0.7008955368941651	0.2991055675479562
